lokasi,jumlah_akses
kabupaten kepulauan mentawai,3900
kabupaten agam,10
kabupaten dharmasraya,1
kota cimahi,1022
kota cirebon,1103
kota depok,315
kota sukabumi,33
kota tasikmalaya,107
kota administrasi jakarta pusat,91
kota administrasi jakarta selatan,102
kota administrasi jakarta timur,103
kota administrasi jakarta utara,1105
jawa tengah,5230
