kota palembang,-2.9760735,104.77543
kota prabumulih,-3.4213707,104.24368
lampung ,-4.5585847,105.40681
kabupaten lampung barat,-5.1095295,104.14661
kabupaten lampung selatan,-5.5622616,105.54744
kabupaten lampung tengah,-4.8008084,105.31312
kabupaten lampung timur,-5.1134996,105.68818
kabupaten lampung utara,-4.8133907,104.75209
kabupaten mesuji,-4.0044785,105.31312
kabupaten pesawaran,-5.493245,105.079124
kabupaten pringsewu,-5.3331184,104.98562
kabupaten tanggamus,-5.3027487,104.56553
kabupaten tulang bawang,-7.086562,110.28501
kabupaten tulang bawang barat,-4.61548,105.11225
kabupaten way kanan,-4.496369,104.56553
kota bandar lampung,-5.3971395,105.26679
kota metro,-5.1178393,105.30727
kepulauan bangka belitung,-2.7410512,106.44059
kabupaten bangka,-1.874294,105.92299
kabupaten bangka barat,-1.8405046,105.50055
kabupaten bangka selatan,-2.7410512,106.44059
kabupaten bangka tengah,-2.4007823,106.20515
kabupaten belitung,-2.7216742,107.76362
kabupaten belitung timur,-2.8678038,108.14287
kota pangkal pinang,-2.1316266,106.11693
kepulauan riau,3.9456513,108.14287
kabupaten bintan,1.0619173,104.51892
kabupaten karimun,0.7697665,103.404945
kabupaten kepulauan anambas,2.923624,105.75859
kabupaten lingga,1.366882,111.16323
kabupaten natuna,3.9456513,108.14287
kota batam,1.0456264,104.03046
kota tanjung pinang,0.9185504,104.46651
jawa,-7.3281875,109.90769
banten,-6.405817,106.06402
kabupaten tangerang,-6.2023935,106.65271
kabupaten serang,-6.110366,106.16398
kabupaten lebak,-6.5643954,106.25221
kabupaten pandeglang,-6.327061,106.11693
kota tangerang,-6.2023935,106.65271
kota serang,-6.110366,106.16398
kota cilegon,-6.0025344,106.01112
kota tangerang selatan,-6.2835217,106.711296
jawa barat,-7.090911,107.668884
kabupaten bandung,-6.917464,107.619125
kabupaten bandung barat,-6.8652215,107.491974
kabupaten bekasi,-6.23827,106.97557
kabupaten bogor,-6.597147,106.80604
kabupaten ciamis,-7.3298674,108.33225
kabupaten cianjur,-6.8168235,107.14255
kabupaten cirebon,-6.732023,108.552315
kabupaten garut,-7.227906,107.9087
kabupaten indramayu,-6.33731,108.32582
kabupaten karawang,-6.32273,107.33758
kabupaten kuningan,-6.9810104,108.49289
kabupaten majalengka,-6.836422,108.227425
kabupaten purwakarta,-6.5406666,107.44627
kabupaten subang,-6.5622888,107.760796
kabupaten sukabumi,-6.9277363,106.929955
kabupaten sumedang,-6.832858,107.953186
kabupaten tasikmalaya,-7.3505807,108.21716
kota bandung,-6.917464,107.619125
kota banjar,-7.3706875,108.53425
kota bekasi,-6.23827,106.97557
kota bogor,-6.597147,106.80604
kota cimahi,-6.8840814,107.541306
kota cirebon,-6.732023,108.552315
kota depok,-6.4024844,106.79424
kota sukabumi,-6.9277363,106.929955
kota tasikmalaya,-7.3505807,108.21716
dki jakarta,-6.174465,106.82275
kabupaten administrasi kepulauan seribu,-5.7469234,106.61254
kota administrasi jakarta barat,-6.1683297,106.75885
kota administrasi jakarta pusat,-6.1864862,106.83409
kota administrasi jakarta selatan,-6.2614927,106.8106
kota administrasi jakarta timur,-6.2250137,106.900444
kota administrasi jakarta utara,-6.1384144,106.86395
jawa tengah,-7.150975,110.14026
kabupaten banjarnegara,-7.44739,109.553856
kabupaten banyumas,-7.4832134,109.140434
kabupaten batang,-6.908045,109.73268
kabupaten blora,-7.012244,111.37989
kabupaten boyolali,-7.52053,110.595024
kabupaten brebes,-6.856421,109.039375
kabupaten cilacap,-7.698299,109.02352
kabupaten demak,-6.892161,110.63775
kabupaten grobogan,-7.0217195,110.962585
kabupaten jepara,-6.580498,110.678986
kabupaten karanganyar,-7.607073,110.986694
kabupaten kebumen,-7.67619,109.6637
kabupaten kendal,54.328007,-2.74629
kabupaten klaten,-7.739967,110.664566
kabupaten kudus,31.768318,35.21371
kabupaten magelang,-7.4797344,110.2177
kabupaten pati,-6.7449636,111.04604
kabupaten pekalongan,-6.8898363,109.67459
kabupaten pemalang,-6.9201317,109.370575
kabupaten purbalingga,-7.385735,109.36043
kabupaten purworejo,-7.7135816,110.007835
kabupaten rembang,-6.706555,111.33729
kabupaten semarang,-7.005145,110.438126
kabupaten sragen,-7.419408,111.02249
kabupaten sukoharjo,-7.683029,110.814735
kabupaten tegal,-6.879704,109.125595
kabupaten temanggung,-7.3178563,110.17792
kabupaten wonogiri,-7.7978516,110.93874
kabupaten wonosobo,-7.3555775,109.913956
kota magelang,-7.4797344,110.2177
kota pekalongan,-6.8898363,109.67459
kota salatiga,-7.3305235,110.50844
kota semarang,-7.005145,110.438126
kota surakarta,-7.5754886,110.824326
kota tegal,-6.879704,109.125595
jawa timur,-7.5360637,112.2384
kabupaten bangkalan,-7.0252824,112.75198
kabupaten banyuwangi,-8.2192335,114.369225
kabupaten blitar,-8.095463,112.160904
kabupaten bojonegoro,-7.1524787,111.88693
kabupaten bondowoso,-7.9187584,113.82064
kabupaten gresik,-7.1652436,112.651985
kabupaten jember,-8.173312,113.70093
kabupaten jombang,-7.5740867,112.28609
kabupaten kediri,-7.848016,112.01783
kabupaten lamongan,-7.118111,112.41498
kabupaten lumajang,-8.132769,113.224556
kabupaten madiun,-7.6310587,111.530014
kabupaten magetan,-7.649341,111.33816
kabupaten malang,-7.9666204,112.63263
kabupaten mojokerto,-7.563831,112.47683
kabupaten nganjuk,-7.604372,111.899345
kabupaten ngawi,-7.4190726,111.4574
kabupaten pacitan,-8.179782,111.10565
kabupaten pamekasan,-7.154249,113.47391
kabupaten pasuruan,-7.6469193,112.899925
kabupaten ponorogo,-7.866688,111.466606
kabupaten probolinggo,-7.7764225,113.20371
kabupaten sampang,-7.0402327,113.23945
kabupaten sidoarjo,-7.449772,112.701546
kabupaten situbondo,-7.7050533,113.99528
kabupaten sumenep,-7.009557,113.8583
kabupaten trenggalek,-8.08641,111.71313
kabupaten tuban,-6.89491,112.04167
kabupaten tulungagung,-8.091221,111.96417
kota batu,-7.8830647,112.53345
kota blitar,-8.095463,112.160904
kota kediri,-7.848016,112.01783
kota madiun,-7.6310587,111.530014
kota malang,-7.9666204,112.63263
kota mojokerto,-7.4704747,112.44013
kota pasuruan,-7.6469193,112.899925
kota probolinggo,-7.7764225,113.20371
kota surabaya,-7.257472,112.75209
daerah istimewa yogyakarta,-7.7975917,110.37071
kabupaten bantul,-7.8748174,110.32554
kabupaten gunung kidul,-8.030509,110.61689
kabupaten kulon progo,-7.8266797,110.164085
kabupaten sleman,-7.716165,110.3354
kota yogyakarta,-7.79558,110.36949
bali,-8.409518,115.18892
kabupaten badung,-8.581929,115.177055
kabupaten bangli,-8.454303,115.3549
kabupaten buleleng,-8.121376,115.07818
kabupaten gianyar,-8.536715,115.33144
kabupaten jembrana,-8.360949,114.62935
kabupaten karangasem,-8.446293,115.61273
kabupaten klungkung,-8.538825,115.40237
kabupaten tabanan,-8.537557,115.124695
kota denpasar,-8.670458,115.21263
nusa tenggara barat,-8.652933,117.36165
kabupaten bima,-8.435396,118.62648
kabupaten dompu,-8.536396,118.34619
kabupaten lombok barat,-8.64646,116.112305
kabupaten lombok tengah,-8.694623,116.27771
kabupaten lombok timur,-8.513447,116.56099
kabupaten lombok utara,-8.373908,116.27771
kabupaten sumbawa,-8.652933,117.36165
kabupaten sumbawa barat,-8.929291,116.89104
kota bima,-8.464266,118.7449
kota mataram,-8.576995,116.10049
